acquisition_campaignID,NPU_Count,First_GMV,Avg_First_Amount,Median_First_Amount,Total_First_Discount,Avg_First_Discount,Dominant_First_Category,Dominant_Promotion_Type,First_month_min,First_month_max,First_Subsidy_Rate,Repeat_Rate,D7_Retention,D30_Retention,D60_Retention,Avg_Post_Tx,Avg_Post_GMV,Avg_Post_Discount,Post_Non_Promo_Tx_Share,Avg_Post_Category_Count,Avg_Post_Merchant_Count
7842,7,350000,50000.0,50000.0,175000,25000.0,Daily_Consumption,voucher,2022-06-14 11:55:31.777,2022-06-15 18:29:43.906,0.5,0.1428571428571428,0.0,0.0,0.0,0.2857142857142857,34500.0,5000.0,0.5,0.2857142857142857,0.2857142857142857
7847,4,1090000,272500.0,200000.0,40000,10000.0,Interactive_Service,voucher,2022-07-17 12:45:06.870,2022-12-08 07:41:20.695,0.036697247706422,1.0,0.75,0.6666666666666666,1.0,12.75,1359350.0,4925.0,0.9607843137254902,1.25,2.0
7880,42,87948565,2094013.4523809524,1629992.0,2100000,50000.0,Obligation_Payment,voucher,2022-06-01 17:20:04.682,2022-07-09 20:19:12.389,0.0238775925451427,0.8809523809523809,0.1428571428571428,0.6666666666666666,0.8333333333333334,12.38095238095238,8837915.714285715,15999.214285714286,0.9,1.5238095238095235,2.571428571428572
7965,26,989798,38069.15384615384,20000.0,260000,10000.0,Access_Service,voucher,2022-06-01 17:15:08.884,2022-06-23 18:12:02.804,0.2626798599310162,0.8461538461538461,0.4230769230769231,0.7307692307692307,0.8076923076923077,21.807692307692307,2476010.6923076925,50916.53846153846,0.8024691358024691,1.7692307692307692,2.923076923076923
7971,1,31200,31200.0,31200.0,15000,15000.0,Daily_Consumption,direct discount,2022-06-14 19:16:48.714,2022-06-14 19:16:48.714,0.4807692307692308,1.0,0.0,0.0,0.0,1.0,40500.0,0.0,1.0,1.0,1.0
7980,3,268000,89333.33333333333,76000.0,90000,30000.0,OnDemand_Service,voucher,2022-06-01 18:30:33.376,2022-06-05 22:01:44.172,0.3358208955223881,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,164616.66666666666,0.0,1.0,0.3333333333333333,0.3333333333333333
7991,1,59475,59475.0,59475.0,25000,25000.0,Goods_Transaction,voucher,2022-06-10 20:24:13.062,2022-06-10 20:24:13.062,0.4203446826397646,1.0,1.0,1.0,1.0,16.0,2042410.0,242000.0,0.0,3.0,4.0
7993,4,50000,12500.0,10000.0,8000,2000.0,Access_Service,voucher,2022-06-02 21:37:22.859,2022-06-19 22:40:25.289,0.16,0.5,0.25,0.25,0.5,1.25,8575.0,2750.0,0.6,0.75,1.0
8063,491,410067988,835169.0183299389,533226.0,24550000,50000.0,Obligation_Payment,voucher,2022-06-02 12:07:46.319,2022-12-31 17:48:16.464,0.0598681211857971,0.6802443991853361,0.1694560669456067,0.5352798053527981,0.7437722419928826,3.684317718940937,1917732.6252545824,10532.468431771897,0.7822001105583195,1.0224032586558045,1.3319755600814664
8064,1,574309,574309.0,574309.0,20000,20000.0,Obligation_Payment,voucher,2022-12-14 09:04:16.232,2022-12-14 09:04:16.232,0.0348244586102603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8069,68,30220013,444411.95588235295,292209.5,3400000,50000.0,Obligation_Payment,voucher,2022-06-01 12:17:15.509,2022-06-22 23:04:26.204,0.1125082242684673,0.2647058823529412,0.0735294117647058,0.1764705882352941,0.2647058823529412,2.073529411764706,1089332.1911764706,10058.823529411764,0.6737588652482269,0.4411764705882353,0.6764705882352942
8113,162,2947640,18195.30864197531,10000.0,1458000,9000.0,Access_Service,voucher,2022-06-01 00:09:12.325,2022-06-02 23:26:58.888,0.4946329945312182,0.6296296296296297,0.2716049382716049,0.4382716049382716,0.4876543209876543,10.185185185185183,744072.0987654321,21437.345679012345,0.8406060606060606,1.1049382716049383,1.7530864197530864
8120,1,18600,18600.0,18600.0,5000,5000.0,Access_Service,voucher,2022-06-16 19:08:33.298,2022-06-16 19:08:33.298,0.2688172043010752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8126,80,3402009,42525.1125,20000.0,800000,10000.0,Access_Service,voucher,2022-06-01 01:01:36.864,2022-06-30 17:41:17.856,0.2351551686077256,0.7875,0.3875,0.55,0.6375,14.55,1785256.75,33886.45,0.8264604810996563,1.5625,2.4625
8177,1,1820000,1820000.0,1820000.0,100000,100000.0,OnDemand_Service,direct discount,2022-06-25 12:17:55.157,2022-06-25 12:17:55.157,0.0549450549450549,1.0,1.0,1.0,1.0,1.0,77526.0,20000.0,0.0,1.0,1.0
8182,4,530300,132575.0,73500.0,100000,25000.0,OnDemand_Service,voucher,2022-06-02 15:54:20.031,2022-06-03 15:16:16.137,0.1885725061286064,0.75,0.5,0.75,0.75,16.25,4446126.5,55000.0,0.8615384615384616,2.0,2.75
8201,1,100000,100000.0,100000.0,50000,50000.0,Goods_Transaction,direct discount,2022-06-09 10:22:59.450,2022-06-09 10:22:59.450,0.5,1.0,1.0,1.0,1.0,8.0,1945484.0,112000.0,0.25,3.0,4.0
8202,1251,15450000,12350.11990407674,10000.0,11259000,9000.0,Access_Service,voucher,2022-06-01 12:07:32.718,2022-10-06 03:25:36.617,0.7287378640776699,0.5459632294164668,0.2733812949640288,0.3876898481215028,0.4404476418864908,5.709832134292566,573412.1398880895,27706.181454836133,0.6686266274674506,1.008792965627498,1.5107913669064748
