acquisition_campaignID,NPU_Count,First_GMV,Avg_First_Amount,Median_First_Amount,Total_First_Discount,Avg_First_Discount,Dominant_First_Category,Dominant_Promotion_Type,First_month_min,First_month_max,First_Subsidy_Rate
8064,1,574309,574309.0,574309.0,20000,20000.0,Obligation_Payment,voucher,2022-12-14 09:04:16.232,2022-12-14 09:04:16.232,0.03482445861026033
8069,68,30220013,444411.95588235295,292209.5,3400000,50000.0,Obligation_Payment,voucher,2022-06-01 12:17:15.509,2022-06-22 23:04:26.204,0.11250822426846739
8113,162,2947640,18195.30864197531,10000.0,1458000,9000.0,Access_Service,voucher,2022-06-01 00:09:12.325,2022-06-02 23:26:58.888,0.4946329945312182
8120,1,18600,18600.0,18600.0,5000,5000.0,Access_Service,voucher,2022-06-16 19:08:33.298,2022-06-16 19:08:33.298,0.26881720430107525
8126,80,3402009,42525.1125,20000.0,800000,10000.0,Access_Service,voucher,2022-06-01 01:01:36.864,2022-06-30 17:41:17.856,0.23515516860772562
8177,1,1820000,1820000.0,1820000.0,100000,100000.0,OnDemand_Service,direct discount,2022-06-25 12:17:55.157,2022-06-25 12:17:55.157,0.054945054945054944
8182,4,530300,132575.0,73500.0,100000,25000.0,OnDemand_Service,voucher,2022-06-02 15:54:20.031,2022-06-03 15:16:16.137,0.18857250612860646
8201,1,100000,100000.0,100000.0,50000,50000.0,Goods_Transaction,direct discount,2022-06-09 10:22:59.450,2022-06-09 10:22:59.450,0.5
8202,1251,15450000,12350.119904076739,10000.0,11259000,9000.0,Access_Service,voucher,2022-06-01 12:07:32.718,2022-10-06 03:25:36.617,0.7287378640776699
8203,85,1700000,20000.0,20000.0,1615000,19000.0,Access_Service,voucher,2022-06-01 17:46:21.838,2022-08-23 09:10:13.947,0.95
8205,50,2550000,51000.0,50000.0,2450000,49000.0,Access_Service,voucher,2022-06-02 10:33:47.795,2022-07-28 23:26:43.006,0.9607843137254902
8208,1,165000,165000.0,165000.0,15000,15000.0,Goods_Transaction,direct discount,2022-06-12 20:49:13.643,2022-06-12 20:49:13.643,0.09090909090909091
8217,4,372300,93075.0,92150.0,60000,15000.0,OnDemand_Service,voucher,2022-06-14 16:47:12.424,2022-07-14 16:03:15.443,0.16116035455278002
8224,1,156128,156128.0,156128.0,10000,10000.0,Obligation_Payment,voucher,2022-07-04 21:54:35.617,2022-07-04 21:54:35.617,0.06405001024800164
8236,2,437100,218550.0,218550.0,30000,15000.0,Goods_Transaction,voucher,2022-06-01 18:37:57.235,2022-06-05 19:30:58.235,0.06863417982155114
8248,1456,834021178,572816.7431318681,397410.0,72800000,50000.0,Obligation_Payment,voucher,2022-06-01 06:43:41.048,2022-06-22 23:06:01.596,0.0872879513378496
8255,1,267000,267000.0,267000.0,20000,20000.0,Goods_Transaction,voucher,2022-06-24 08:18:02.220,2022-06-24 08:18:02.220,0.0749063670411985
8257,1,288654,288654.0,288654.0,5000,5000.0,Obligation_Payment,voucher,2022-06-17 08:41:28.193,2022-06-17 08:41:28.193,0.017321776244223187
8265,2,193000,96500.0,96500.0,80000,40000.0,Daily_Consumption,voucher,2022-06-18 17:09:23.546,2022-06-24 12:37:17.386,0.41450777202072536
8267,3,1470000,490000.0,500000.0,45000,15000.0,Mobility_Service,direct discount,2022-06-10 11:03:25.871,2022-06-24 17:27:18.634,0.030612244897959183
8273,4,1415000,353750.0,334000.0,80000,20000.0,Goods_Transaction,direct discount,2022-06-14 22:06:51.109,2022-06-23 09:16:25.752,0.05653710247349823
8276,2,2028700,1014350.0,1014350.0,40000,20000.0,Goods_Transaction,voucher,2022-06-19 12:28:22.255,2022-06-21 20:16:48.884,0.01971706018632622
8279,12,1041473,86789.41666666667,52500.0,180000,15000.0,Daily_Consumption,direct discount,2022-06-15 11:51:00.719,2022-08-19 14:16:49.381,0.1728321329501581
8289,419,88280818,210694.07637231503,190000.0,45333818,108195.26968973747,Unknown_Group,direct discount,2022-06-01 22:31:00.267,2022-08-03 17:10:34.815,0.5135183273902152
