acquisition_campaignID,NPU_Count,Repeat_Rate,D7_Retention,D30_Retention,D60_Retention,Avg_Post_Tx,Avg_Post_GMV,Avg_Post_Discount,Post_Non_Promo_Tx_Share,Avg_Post_Category_Count,Avg_Post_Merchant_Count
8359,1.0,1.0,0.0,0.0,1.0,3.0,298500.0,20000.0,0.6666666666666666,2.0,2.0
8384,25.0,0.92,0.56,0.8,0.88,19.32,7416016.24,20918.4,0.9089026915113871,1.88,2.64
8386,1944.0,0.6779835390946503,0.22890946502057613,0.41975308641975306,0.5005144032921811,6.67798353909465,722751.7602880659,14231.366769547325,0.8108149745801879,1.1203703703703705,1.5977366255144032
8388,6.0,0.5,0.0,0.3333333333333333,0.3333333333333333,9.833333333333334,2320000.0,7333.333333333333,0.847457627118644,0.5,0.8333333333333334
8409,451.0,0.8514412416851441,0.4789356984478936,0.6762749445676275,0.7583148558758315,14.42128603104213,2932197.4589800444,17809.09756097561,0.9191266912669127,1.8048780487804879,2.3702882483370287
8412,14.0,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,2.7857142857142856,273493.5,13928.57142857143,0.717948717948718,0.35714285714285715,0.7142857142857143
8417,2.0,0.5,0.5,0.5,0.5,31.0,2211845.0,482500.0,0.03225806451612903,4.0,13.0
8447,4.0,0.75,0.25,0.5,0.75,9.0,944800.0,59245.0,0.3611111111111111,1.5,3.25
8464,5.0,0.6,0.4,0.6,0.6,8.2,1510644.6,61000.0,0.5609756097560976,1.6,2.2
8466,2.0,0.5,0.5,0.5,0.5,11.5,1532143.5,22000.0,0.8260869565217391,2.0,2.5
8485,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8495,11.0,0.5454545454545454,0.18181818181818182,0.45454545454545453,0.45454545454545453,2.4545454545454546,554944.5454545454,11818.181818181818,0.6666666666666666,1.1818181818181819,1.4545454545454546
8500,196.0,0.5867346938775511,0.29081632653061223,0.46938775510204084,0.5510204081632653,6.178571428571429,343455.5051020408,31113.163265306124,0.620148637489678,1.0255102040816326,1.6887755102040816
8501,31.0,0.3548387096774194,0.2903225806451613,0.2903225806451613,0.2903225806451613,6.419354838709677,2575130.9032258065,55096.77419354839,0.3869346733668342,0.9032258064516129,1.935483870967742
8504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8507,1.0,1.0,1.0,1.0,1.0,20.0,2169050.0,335000.0,0.0,4.0,6.0
8513,2.0,0.5,0.5,0.5,0.5,5.0,37400.0,5000.0,0.9,1.5,2.0
8532,29.0,0.6206896551724138,0.3793103448275862,0.41379310344827586,0.5862068965517241,8.206896551724139,292721.8965517241,11792.068965517241,0.8361344537815126,1.0689655172413792,1.6896551724137931
8533,2.0,0.5,0.0,0.5,0.5,4.0,70747.0,18500.0,0.5,1.5,1.5
8571,32.0,0.6875,0.15625,0.5,0.5625,3.375,511199.0625,11150.5625,0.7962962962962963,0.9375,1.21875
8573,30.0,0.8333333333333334,0.3,0.6666666666666666,0.7666666666666667,5.8,342858.9666666667,17399.666666666668,0.8275862068965517,1.8666666666666667,2.0
8578,196.0,0.8112244897959183,0.41836734693877553,0.673469387755102,0.7346938775510204,14.826530612244898,1471689.0102040817,16800.658163265307,0.9153475567790778,1.596938775510204,2.0306122448979593
8584,67.0,0.7164179104477612,0.14925373134328357,0.43283582089552236,0.5074626865671642,6.835820895522388,1186318.223880597,41276.79104477612,0.7860262008733624,1.5522388059701493,2.074626865671642
8585,12.0,0.6666666666666666,0.16666666666666666,0.4166666666666667,0.5714285714285714,1.3333333333333333,81287.66666666667,0.0,1.0,0.8333333333333334,1.0
8586,2.0,0.5,0.5,0.5,0.5,4.0,48660.0,7000.0,0.75,0.5,2.0
8587,9.0,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.8888888888888888,30.22222222222222,2195647.6666666665,51443.333333333336,0.875,2.111111111111111,3.4444444444444446
8589,1164.0,0.8805841924398625,0.29381443298969073,0.6254295532646048,0.781786941580756,8.287800687285223,2569524.0103092785,23421.9029209622,0.7722608064683322,1.679553264604811,2.3024054982817868
8590,13.0,0.46153846153846156,0.15384615384615385,0.23076923076923078,0.23076923076923078,4.923076923076923,693474.9230769231,27461.53846153846,0.703125,1.2307692307692308,1.7692307692307692
8597,23.0,0.6086956521739131,0.17391304347826086,0.5217391304347826,0.5652173913043478,3.6956521739130435,365548.26086956525,3695.6521739130435,0.8941176470588236,1.173913043478261,1.3043478260869565
8612,51.0,0.7058823529411765,0.23529411764705882,0.5294117647058824,0.6666666666666666,8.27450980392157,8279443.843137255,16406.392156862745,0.8175355450236966,1.196078431372549,2.0392156862745097
8613,3.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,5.0,1682162.3333333333,20000.0,0.7333333333333333,2.0,2.3333333333333335
8625,1.0,1.0,1.0,1.0,1.0,2.0,40000.0,2000.0,0.5,1.0,1.0
